met,Feature Dataset,Feature Class,SourceAttribute,DestinationAttribute,String Type,Definition,Notes
MTA.meteredblockfacesTO_ADDR_NO,MTA.Parking,MTA.meteredblockfaces,TO_ADDR_NO,To Address Number,,,
MTA.meteredblockfacesENDPT1_LONGITUDE,MTA.Parking,MTA.meteredblockfaces,ENDPT1_LONGITUDE,Endpoint 1 Long,,,
MTA.meteredblockfacesENDPT1_LATITUDE,MTA.Parking,MTA.meteredblockfaces,ENDPT1_LATITUDE,Endpoint 1 Lat,,,
MTA.meteredblockfacesENDPT2_LONGITUDE,MTA.Parking,MTA.meteredblockfaces,ENDPT2_LONGITUDE,Endpoint 2 Long,,,
MTA.meteredblockfacesENDPT2_LATITUDE,MTA.Parking,MTA.meteredblockfaces,ENDPT2_LATITUDE,Endpoint 2 Lat,,,
MTA.meteredblockfacesCREATED_DT,MTA.Parking,MTA.meteredblockfaces,CREATED_DT,Do Not Publish,,,
MTA.meteredblockfacesLAST_UPD_DT,MTA.Parking,MTA.meteredblockfaces,LAST_UPD_DT,Do Not Publish,,,
MTA.meteredblockfacesLAST_UPD_USER,MTA.Parking,MTA.meteredblockfaces,LAST_UPD_USER,Do Not Publish,,,
MTA.meteredblockfacesLAST_UPD_PGM,MTA.Parking,MTA.meteredblockfaces,LAST_UPD_PGM,Do Not Publish,,,
MTA.meteredblockfacesSDE_ID,MTA.Parking,MTA.meteredblockfaces,SDE_ID,Do Not Publish,,,
MTA.meteredblockfacesNEIGHBORHOOD_ID,MTA.Parking,MTA.meteredblockfaces,NEIGHBORHOOD_ID,Neighborhood ID,,,
MTA.meteredblockfacesGEOM,MTA.Parking,MTA.meteredblockfaces,GEOM,Do Not Publish,,,
MTA.meteredblockfacesCREATED_USER,MTA.Parking,MTA.meteredblockfaces,CREATED_USER,Do Not Publish,,,
MTA.meteredblockfacesCREATED_DATE,MTA.Parking,MTA.meteredblockfaces,CREATED_DATE,Do Not Publish,,,
MTA.meteredblockfacesLAST_EDITED_USER,MTA.Parking,MTA.meteredblockfaces,LAST_EDITED_USER,Do Not Publish,,,
MTA.meteredblockfacesLAST_EDITED_DATE,MTA.Parking,MTA.meteredblockfaces,LAST_EDITED_DATE,Last Edited Date,,,
MTA.meteredblockfacesGEOM.LEN,MTA.Parking,MTA.meteredblockfaces,GEOM.LEN,Do Not Publish,,,
MTA.parkingcensus_onstreet_sideOBJECTID,MTA.Parking,MTA.parkingcensus_onstreet_side,OBJECTID,Object ID,,,
MTA.parkingcensus_onstreet_sidePKNG_SPLY,MTA.Parking,MTA.parkingcensus_onstreet_side,PKNG_SPLY,Parking Supply,, number of parking spaces per blockface (side of street),
MTA.parkingcensus_onstreet_sideSHAPE,MTA.Parking,MTA.parkingcensus_onstreet_side,SHAPE,Do Not Publish,,,
MTA.parkingcensus_onstreet_sideCREATED_USER,MTA.Parking,MTA.parkingcensus_onstreet_side,CREATED_USER,Do Not Publish,,,
MTA.parkingcensus_onstreet_sideCREATED_DATE,MTA.Parking,MTA.parkingcensus_onstreet_side,CREATED_DATE,Do Not Publish,,,
MTA.parkingcensus_onstreet_sideLAST_EDITED_USER,MTA.Parking,MTA.parkingcensus_onstreet_side,LAST_EDITED_USER,Do Not Publish,,,
MTA.parkingcensus_onstreet_sideLAST_EDITED_DATE,MTA.Parking,MTA.parkingcensus_onstreet_side,LAST_EDITED_DATE,Last Edited Date,,,
MTA.carshare_onstreetADDRESS,MTA.Parking,MTA.carshare_onstreet,ADDRESS,Address,,,
MTA.carshare_onstreetADDRANGE,MTA.Parking,MTA.carshare_onstreet,ADDRANGE,Address Range,,,
MTA.carshare_onstreetAPPROVAL,MTA.Parking,MTA.carshare_onstreet,APPROVAL,Approval Status,,,
MTA.carshare_onstreetCSO,MTA.Parking,MTA.carshare_onstreet,CSO,Carshare Organization,,,
MTA.carshare_onstreetCNN_INTXN,MTA.Parking,MTA.carshare_onstreet,CNN_INTXN,CNN Intersection ID,, intersection CNN nearest to the space,
MTA.carshare_onstreetCNN_SEG,MTA.Parking,MTA.carshare_onstreet,CNN_SEG,CNN Segment ID,,,
MTA.carshare_onstreetOBJECTID,MTA.Parking,MTA.carshare_onstreet,OBJECTID,Do Not Publish,,,
MTA.carshare_onstreetPOD,MTA.Parking,MTA.carshare_onstreet,POD,Pod,," the address with the number of spaces in the pod (either (2), or "" "", for one car pods)",
MTA.carshare_onstreetEDITEDBY,MTA.Parking,MTA.carshare_onstreet,EDITEDBY,Do Not Publish,,,
MTA.carshare_onstreetPOINT_X,MTA.Parking,MTA.carshare_onstreet,POINT_X,Do Not Publish,,,
MTA.carshare_onstreetPOINT_Y,MTA.Parking,MTA.carshare_onstreet,POINT_Y,Do Not Publish,, latitude,
MTA.carshare_onstreetST_NAME,MTA.Parking,MTA.carshare_onstreet,ST_NAME,Do Not Publish,,,
MTA.carshare_onstreetST_TYPE,MTA.Parking,MTA.carshare_onstreet,ST_TYPE,Do Not Publish,,,
MTA.carshare_onstreetSUPNAME,MTA.Parking,MTA.carshare_onstreet,SUPNAME,Do Not Publish,,,
MTA.carshare_onstreetSHAPE,MTA.Parking,MTA.carshare_onstreet,SHAPE,Do Not Publish,,,
MTA.carshare_onstreetCREATED_USER,MTA.Parking,MTA.carshare_onstreet,CREATED_USER,Do Not Publish,,,
MTA.carshare_onstreetCREATED_DATE,MTA.Parking,MTA.carshare_onstreet,CREATED_DATE,Do Not Publish,,,
MTA.carshare_onstreetLAST_EDITED_USER,MTA.Parking,MTA.carshare_onstreet,LAST_EDITED_USER,Do Not Publish,,,
MTA.carshare_onstreetINTRSXN,MTA.Parking,MTA.carshare_onstreet,INTRSXN,Intersection,,,
MTA.carshare_onstreetLAST_EDITED_DATE,MTA.Parking,MTA.carshare_onstreet,LAST_EDITED_DATE,Last Edited Date,,,
MTA.carshare_onstreetINFO,MTA.Parking,MTA.carshare_onstreet,INFO,Missing,,,
MTA.carshare_onstreetSPACE_TYPE,MTA.Parking,MTA.carshare_onstreet,SPACE_TYPE,Missing,,,
MTA.carshare_onstreetDATESUBMIT,MTA.Parking,MTA.carshare_onstreet,DATESUBMIT,Missing,, Date of space request submission,
MTA.carshare_onstreetDATEMODIFY,MTA.Parking,MTA.carshare_onstreet,DATEMODIFY,Missing,,,
MTA.carshare_onstreetEXISTING,MTA.Parking,MTA.carshare_onstreet,EXISTING,Missing,," Notes whether the space request is existing and in operation (0- not existing, 1- existing)",
MTA.carshare_onstreetCONFLICT,MTA.Parking,MTA.carshare_onstreet,CONFLICT,Missing,,,
MTA.carshare_onstreetFLAG_NOTE,MTA.Parking,MTA.carshare_onstreet,FLAG_NOTE,Missing,, a note about conflict or other note,
MTA.carshare_onstreetPOST_ID,MTA.Parking,MTA.carshare_onstreet,POST_ID,Missing,," if the space is metered, indicates the meter post ID",
MTA.carshare_onstreetPH_DATE,MTA.Parking,MTA.carshare_onstreet,PH_DATE,Missing,,,
MTA.carshare_onstreetTASC_DATE,MTA.Parking,MTA.carshare_onstreet,TASC_DATE,Missing,,,
MTA.carshare_onstreetMTAB_DATE,MTA.Parking,MTA.carshare_onstreet,MTAB_DATE,Missing,,,
MTA.carshare_onstreetWO_LOG_NO,MTA.Parking,MTA.carshare_onstreet,WO_LOG_NO,Missing,," indicates the shop crew work order log number (this number is attached to the work order sent to the sign. meter, paint shops necessary for constructing/installing the space)",
MTA.carshare_onstreetWO_ROUND,MTA.Parking,MTA.carshare_onstreet,WO_ROUND,Missing,,,
MTA.carshare_onstreetWO_STATUS,MTA.Parking,MTA.carshare_onstreet,WO_STATUS,Missing,,,
MTA.carshare_onstreetWO_COMPLET,MTA.Parking,MTA.carshare_onstreet,WO_COMPLET,Missing,, indicates the work order is complete or not,
MTA.carshare_onstreetCREATED_US,MTA.Parking,MTA.carshare_onstreet,CREATED_US,Do Not Publish,,,
MTA.carshare_onstreetCREATED_DA,MTA.Parking,MTA.carshare_onstreet,CREATED_DA,Do Not Publish,,,
MTA.carshare_onstreetLAST_EDITE,MTA.Parking,MTA.carshare_onstreet,LAST_EDITE,Missing,,,
MTA.carshare_onstreetNHOOD,MTA.Parking,MTA.carshare_onstreet,NHOOD,Neighborhood,,,
MTA.carshare_onstreetOPER_DATE,MTA.Parking,MTA.carshare_onstreet,OPER_DATE,Operational Date,,,
MTA.carshare_onstreetPODTYPE,MTA.Parking,MTA.carshare_onstreet,PODTYPE,Pod Type,,,
MTA.carshare_onstreetPRICEZONE,MTA.Parking,MTA.carshare_onstreet,PRICEZONE,Price Zone,,,
MTA.carshare_onstreetSPACEID,MTA.Parking,MTA.carshare_onstreet,SPACEID,Space ID,,,
MTA.carshare_onstreetSTREETNAME,MTA.Parking,MTA.carshare_onstreet,STREETNAME,Street,, indicates the name plus street type,
MTA.carshare_onstreetSUPDSTRICT,MTA.Parking,MTA.carshare_onstreet,SUPDSTRICT,Supervisor District,,,
MTA.carshare_onstreetZIPCODE,MTA.Parking,MTA.carshare_onstreet,ZIPCODE,Zipcode,,,
MTA.meteredstreetblocksOBJECTID,MTA.Parking,MTA.meteredstreetblocks,OBJECTID,Object ID,,,
MTA.meteredstreetblocksBLOCK_ID,MTA.Parking,MTA.meteredstreetblocks,BLOCK_ID,,," Unique ID for each block, corresponds to all SFpark geography levels (meter post ID, blockface, PMD)",
MTA.meteredstreetblocksAREA_TYPE,MTA.Parking,MTA.meteredstreetblocks,AREA_TYPE,,,,
MTA.meteredstreetblocksPM_DISTRICT_ID,MTA.Parking,MTA.meteredstreetblocks,PM_DISTRICT_ID,,,,
MTA.meteredstreetblocksBLOCK_NUM,MTA.Parking,MTA.meteredstreetblocks,BLOCK_NUM,,,,
MTA.meteredstreetblocksSTREET_ID,MTA.Parking,MTA.meteredstreetblocks,STREET_ID,,,,
MTA.meteredstreetblocksSTREET_NAME,MTA.Parking,MTA.meteredstreetblocks,STREET_NAME,,,,
MTA.meteredstreetblocksFM_ADDR_NO,MTA.Parking,MTA.meteredstreetblocks,FM_ADDR_NO,,,,
MTA.meteredstreetblocksTO_ADDR_NO,MTA.Parking,MTA.meteredstreetblocks,TO_ADDR_NO,,,,
MTA.meteredstreetblocksCREATED_DT,MTA.Parking,MTA.meteredstreetblocks,CREATED_DT,Do Not Publish,,,
MTA.meteredstreetblocksLAST_UPD_DT,MTA.Parking,MTA.meteredstreetblocks,LAST_UPD_DT,,,,
MTA.meteredstreetblocksLAST_UPD_USER,MTA.Parking,MTA.meteredstreetblocks,LAST_UPD_USER,Do Not Publish,,,
MTA.meteredstreetblocksLAST_UPD_PGM,MTA.Parking,MTA.meteredstreetblocks,LAST_UPD_PGM,,,,
MTA.meteredstreetblocksSDE_ID,MTA.Parking,MTA.meteredstreetblocks,SDE_ID,,,,
MTA.meteredstreetblocksNEIGHBORHOOD_ID,MTA.Parking,MTA.meteredstreetblocks,NEIGHBORHOOD_ID,,,,
MTA.meteredstreetblocksASSOCIATED_BLOCK_ID,MTA.Parking,MTA.meteredstreetblocks,ASSOCIATED_BLOCK_ID,,,,
MTA.meteredstreetblocksGEOM,MTA.Parking,MTA.meteredstreetblocks,GEOM,,,,
MTA.meteredstreetblocksCREATED_USER,MTA.Parking,MTA.meteredstreetblocks,CREATED_USER,Do Not Publish,,,
MTA.meteredstreetblocksCREATED_DATE,MTA.Parking,MTA.meteredstreetblocks,CREATED_DATE,Do Not Publish,,,
MTA.meteredstreetblocksLAST_EDITED_USER,MTA.Parking,MTA.meteredstreetblocks,LAST_EDITED_USER,Do Not Publish,,,
MTA.meteredstreetblocksLAST_EDITED_DATE,MTA.Parking,MTA.meteredstreetblocks,LAST_EDITED_DATE,Last Edited Date,,,
MTA.meteredstreetblocksGEOM.AREA,MTA.Parking,MTA.meteredstreetblocks,GEOM.AREA,,,,
MTA.meteredstreetblocksGEOM.LEN,MTA.Parking,MTA.meteredstreetblocks,GEOM.LEN,,,,
MTA.parkingmanagementdistrictsOBJECTID,MTA.Parking,MTA.parkingmanagementdistricts,OBJECTID,Object ID,,,
MTA.parkingmanagementdistrictsPM_DISTRICT_ID,MTA.Parking,MTA.parkingmanagementdistricts,PM_DISTRICT_ID,,, Unique ID for each district,
MTA.parkingmanagementdistrictsPM_DISTRICT_NAME,MTA.Parking,MTA.parkingmanagementdistricts,PM_DISTRICT_NAME,,, Name of each district,
MTA.parkingmanagementdistrictsAREA_TYPE,MTA.Parking,MTA.parkingmanagementdistricts,AREA_TYPE,,, Whether the district is an SFpark pilot or control area,
MTA.parkingmanagementdistrictsCREATED_DT,MTA.Parking,MTA.parkingmanagementdistricts,CREATED_DT,Do Not Publish,,,
MTA.parkingmanagementdistrictsLAST_UPD_DT,MTA.Parking,MTA.parkingmanagementdistricts,LAST_UPD_DT,,,,
MTA.parkingmanagementdistrictsLAST_UPD_USER,MTA.Parking,MTA.parkingmanagementdistricts,LAST_UPD_USER,Do Not Publish,,,
MTA.parkingmanagementdistrictsLAST_UPD_PGM,MTA.Parking,MTA.parkingmanagementdistricts,LAST_UPD_PGM,,,,
MTA.parkingmanagementdistrictsSDE_ID,MTA.Parking,MTA.parkingmanagementdistricts,SDE_ID,,,,
MTA.parkingmanagementdistrictsGEOM,MTA.Parking,MTA.parkingmanagementdistricts,GEOM,,,,
MTA.parkingmanagementdistrictsCREATED_USER,MTA.Parking,MTA.parkingmanagementdistricts,CREATED_USER,Do Not Publish,,,
MTA.parkingmanagementdistrictsCREATED_DATE,MTA.Parking,MTA.parkingmanagementdistricts,CREATED_DATE,Do Not Publish,,,
MTA.parkingmanagementdistrictsLAST_EDITED_USER,MTA.Parking,MTA.parkingmanagementdistricts,LAST_EDITED_USER,Do Not Publish,,,
MTA.parkingmanagementdistrictsLAST_EDITED_DATE,MTA.Parking,MTA.parkingmanagementdistricts,LAST_EDITED_DATE,Last Edited Date,,,
MTA.parkingmanagementdistrictsGEOM.AREA,MTA.Parking,MTA.parkingmanagementdistricts,GEOM.AREA,,,,
MTA.parkingmanagementdistrictsGEOM.LEN,MTA.Parking,MTA.parkingmanagementdistricts,GEOM.LEN,,,,
MTA.garagesignage_SFparkOBJECTID,MTA.Parking,MTA.garagesignage_SFpark,OBJECTID,Object ID,,,
MTA.garagesignage_SFparkID,MTA.Parking,MTA.garagesignage_SFpark,ID,,,,
MTA.garagesignage_SFparkGARAGE_1,MTA.Parking,MTA.garagesignage_SFpark,GARAGE_1,,,,
MTA.garagesignage_SFparkG1DISTANCE,MTA.Parking,MTA.garagesignage_SFpark,G1DISTANCE,,,,
MTA.garagesignage_SFparkG1ARROW,MTA.Parking,MTA.garagesignage_SFpark,G1ARROW,,,,
MTA.garagesignage_SFparkGARAGE_2,MTA.Parking,MTA.garagesignage_SFpark,GARAGE_2,,,,
MTA.garagesignage_SFparkG2DISTANCE,MTA.Parking,MTA.garagesignage_SFpark,G2DISTANCE,,,,
MTA.garagesignage_SFparkG2ARROW,MTA.Parking,MTA.garagesignage_SFpark,G2ARROW,,,,
MTA.garagesignage_SFparkGARAGE_3,MTA.Parking,MTA.garagesignage_SFpark,GARAGE_3,,,,
MTA.garagesignage_SFparkG3DISTANCE,MTA.Parking,MTA.garagesignage_SFpark,G3DISTANCE,,,,
MTA.garagesignage_SFparkG3ARROW,MTA.Parking,MTA.garagesignage_SFpark,G3ARROW,,,,
MTA.garagesignage_SFparkSTATUS,MTA.Parking,MTA.garagesignage_SFpark,STATUS,,, Whether existing or proposed. Includes initials of prior staff who made the proposal,
MTA.garagesignage_SFparkDESTINATIO,MTA.Parking,MTA.garagesignage_SFpark,DESTINATIO,,,,
MTA.garagesignage_SFparkTRAVDIRECT,MTA.Parking,MTA.garagesignage_SFpark,TRAVDIRECT,,, Direction of street segment that sign is on,
MTA.garagesignage_SFparkTRAVDIRANG,MTA.Parking,MTA.garagesignage_SFpark,TRAVDIRANG,,,,
MTA.garagesignage_SFparkG1ARROWANG,MTA.Parking,MTA.garagesignage_SFpark,G1ARROWANG,,,,
MTA.garagesignage_SFparkG2ARROWANG,MTA.Parking,MTA.garagesignage_SFpark,G2ARROWANG,,,,
MTA.garagesignage_SFparkG3ARROWANG,MTA.Parking,MTA.garagesignage_SFpark,G3ARROWANG,,,,
MTA.garagesignage_SFparkSHAPE,MTA.Parking,MTA.garagesignage_SFpark,SHAPE,Do Not Publish,,,
MTA.garagesignage_SFparkCREATED_USER,MTA.Parking,MTA.garagesignage_SFpark,CREATED_USER,Do Not Publish,,,
MTA.garagesignage_SFparkCREATED_DATE,MTA.Parking,MTA.garagesignage_SFpark,CREATED_DATE,Do Not Publish,,,
MTA.garagesignage_SFparkLAST_EDITED_USER,MTA.Parking,MTA.garagesignage_SFpark,LAST_EDITED_USER,Do Not Publish,,,
MTA.garagesignage_SFparkLAST_EDITED_DATE,MTA.Parking,MTA.garagesignage_SFpark,LAST_EDITED_DATE,Last Edited Date,,,
MTA.colorcurb_blue_accessibleOBJECTID,MTA.Parking,MTA.colorcurb_blue_accessible,OBJECTID,Object ID,,,
MTA.colorcurb_blue_accessibleADDRESS,MTA.Parking,MTA.colorcurb_blue_accessible,ADDRESS,Address,,,
MTA.colorcurb_blue_accessibleCROSSST,MTA.Parking,MTA.colorcurb_blue_accessible,CROSSST,Cross Street,,,
MTA.colorcurb_blue_accessibleSITEDETAIL,MTA.Parking,MTA.colorcurb_blue_accessible,SITEDETAIL,Site Detail,,,
MTA.colorcurb_blue_accessibleSPACELENG,MTA.Parking,MTA.colorcurb_blue_accessible,SPACELENG,Space Length,,,
MTA.colorcurb_blue_accessibleSTSIDE,MTA.Parking,MTA.colorcurb_blue_accessible,STSIDE,Street Side,,,
MTA.colorcurb_blue_accessibleCURBQUAL,MTA.Parking,MTA.colorcurb_blue_accessible,CURBQUAL,Curb Quality,,,
MTA.colorcurb_blue_accessiblePOSTID,MTA.Parking,MTA.colorcurb_blue_accessible,POSTID,Meter Post ID,, meter post ID for where the space is metered,
MTA.colorcurb_blue_accessibleLASTFIELDC,MTA.Parking,MTA.colorcurb_blue_accessible,LASTFIELDC,Last Edited Date,,,Looks like this is the last edited date in practice
MTA.colorcurb_blue_accessibleLAT,MTA.Parking,MTA.colorcurb_blue_accessible,LAT,Do Not Publish,,,This is part of the shape and the lat/long are published as part of the automation process
MTA.colorcurb_blue_accessibleLONG_,MTA.Parking,MTA.colorcurb_blue_accessible,LONG_,Do Not Publish,,,This is part of the shape and the lat/long are published as part of the automation process
MTA.colorcurb_blue_accessibleSHAPE,MTA.Parking,MTA.colorcurb_blue_accessible,SHAPE,Do Not Publish,,,"We don't publish this per se, we use it in the automation to generate the Socrata dataset"
MTA.colorcurb_blue_accessibleCREATED_USER,MTA.Parking,MTA.colorcurb_blue_accessible,CREATED_USER,Do Not Publish,,,
MTA.colorcurb_blue_accessibleCREATED_DATE,MTA.Parking,MTA.colorcurb_blue_accessible,CREATED_DATE,Do Not Publish,,,
MTA.colorcurb_blue_accessibleLAST_EDITED_USER,MTA.Parking,MTA.colorcurb_blue_accessible,LAST_EDITED_USER,Do Not Publish,,,
MTA.colorcurb_blue_accessibleLAST_EDITED_DATE,MTA.Parking,MTA.colorcurb_blue_accessible,LAST_EDITED_DATE,Last Edited Date,,,All Null Values
MTA.residentialpermitparking_areasOBJECTID,MTA.Parking,MTA.residentialpermitparking_areas,OBJECTID,Object ID,,,
MTA.residentialpermitparking_areasRPPELIGIB,MTA.Parking,MTA.residentialpermitparking_areas,RPPELIGIB,RPP Eligibility,,,
MTA.residentialpermitparking_areasSHAPE,MTA.Parking,MTA.residentialpermitparking_areas,SHAPE,Do Not Publish,,,
MTA.residentialpermitparking_areasCREATED_USER,MTA.Parking,MTA.residentialpermitparking_areas,CREATED_USER,Do Not Publish,,,
MTA.residentialpermitparking_areasCREATED_DATE,MTA.Parking,MTA.residentialpermitparking_areas,CREATED_DATE,Do Not Publish,,,
MTA.residentialpermitparking_areasLAST_EDITED_USER,MTA.Parking,MTA.residentialpermitparking_areas,LAST_EDITED_USER,Do Not Publish,,,
MTA.residentialpermitparking_areasLAST_EDITED_DATE,MTA.Parking,MTA.residentialpermitparking_areas,LAST_EDITED_DATE,Last Edited Date,,,
MTA.residentialpermitparking_areasSHAPE.AREA,MTA.Parking,MTA.residentialpermitparking_areas,SHAPE.AREA,Do Not Publish,,,
MTA.residentialpermitparking_areasSHAPE.LEN,MTA.Parking,MTA.residentialpermitparking_areas,SHAPE.LEN,Do Not Publish,,,
MTA.residentialpermitparking_eligibilityOBJECTID_1,MTA.Parking,MTA.residentialpermitparking_eligibility,OBJECTID_1,Do Not Publish,,,
MTA.residentialpermitparking_eligibilityOBJECTID,MTA.Parking,MTA.residentialpermitparking_eligibility,OBJECTID,Object ID,,,
MTA.residentialpermitparking_eligibilityMAPBLKLOT,MTA.Parking,MTA.residentialpermitparking_eligibility,MAPBLKLOT,MAPBLKLOT,,,
MTA.residentialpermitparking_eligibilityBLKLOT,MTA.Parking,MTA.residentialpermitparking_eligibility,BLKLOT,Block and Lot,,,
MTA.residentialpermitparking_eligibilityBLOCK_NUM,MTA.Parking,MTA.residentialpermitparking_eligibility,BLOCK_NUM,Block,,,
MTA.residentialpermitparking_eligibilityLOT_NUM,MTA.Parking,MTA.residentialpermitparking_eligibility,LOT_NUM,Lot,,,
MTA.residentialpermitparking_eligibilityADDRESS,MTA.Parking,MTA.residentialpermitparking_eligibility,ADDRESS,Address,,,
MTA.residentialpermitparking_eligibilityLABELFIELD,MTA.Parking,MTA.residentialpermitparking_eligibility,LABELFIELD,Label,,,
MTA.residentialpermitparking_eligibilitySOURCE,MTA.Parking,MTA.residentialpermitparking_eligibility,SOURCE,Source,,,
MTA.residentialpermitparking_eligibilityLOWADDRESS,MTA.Parking,MTA.residentialpermitparking_eligibility,LOWADDRESS,Lower Address Range,,,
MTA.residentialpermitparking_eligibilityHIGHADDRES,MTA.Parking,MTA.residentialpermitparking_eligibility,HIGHADDRES,Upper Address Range,,,
MTA.residentialpermitparking_eligibilitySTREETNAME,MTA.Parking,MTA.residentialpermitparking_eligibility,STREETNAME,Street Name,,,
MTA.residentialpermitparking_eligibilitySTREETTYPE,MTA.Parking,MTA.residentialpermitparking_eligibility,STREETTYPE,Street Type,,,
MTA.residentialpermitparking_eligibilityX,MTA.Parking,MTA.residentialpermitparking_eligibility,X,Do Not Publish,,,
MTA.residentialpermitparking_eligibilityY,MTA.Parking,MTA.residentialpermitparking_eligibility,Y,Do Not Publish,,,
MTA.residentialpermitparking_eligibilityMODIFIED,MTA.Parking,MTA.residentialpermitparking_eligibility,MODIFIED,Do Not Publish,,,
MTA.residentialpermitparking_eligibilityEDITOR,MTA.Parking,MTA.residentialpermitparking_eligibility,EDITOR,Do Not Publish,,,
MTA.residentialpermitparking_eligibilityRPPELIGIB,MTA.Parking,MTA.residentialpermitparking_eligibility,RPPELIGIB,RPP Eligibility,,,
MTA.residentialpermitparking_eligibilityCONFLICT,MTA.Parking,MTA.residentialpermitparking_eligibility,CONFLICT,Do Not Publish,,,
MTA.residentialpermitparking_eligibilitySHAPE_LENG,MTA.Parking,MTA.residentialpermitparking_eligibility,SHAPE_LENG,Do Not Publish,,,
MTA.residentialpermitparking_eligibilitySHAPE,MTA.Parking,MTA.residentialpermitparking_eligibility,SHAPE,Do Not Publish,,,
MTA.residentialpermitparking_eligibilityCREATED_USER,MTA.Parking,MTA.residentialpermitparking_eligibility,CREATED_USER,Do Not Publish,,,
MTA.residentialpermitparking_eligibilityCREATED_DATE,MTA.Parking,MTA.residentialpermitparking_eligibility,CREATED_DATE,Do Not Publish,,,
MTA.residentialpermitparking_eligibilityLAST_EDITED_USER,MTA.Parking,MTA.residentialpermitparking_eligibility,LAST_EDITED_USER,Do Not Publish,,,
MTA.residentialpermitparking_eligibilityLAST_EDITED_DATE,MTA.Parking,MTA.residentialpermitparking_eligibility,LAST_EDITED_DATE,Last Edited Date,,,
MTA.residentialpermitparking_eligibilitySHAPE.AREA,MTA.Parking,MTA.residentialpermitparking_eligibility,SHAPE.AREA,Do Not Publish,,,
MTA.residentialpermitparking_eligibilitySHAPE.LEN,MTA.Parking,MTA.residentialpermitparking_eligibility,SHAPE.LEN,Do Not Publish,,,
MTA.parkingregulationsAnnoOBJECTID,MTA.Parking,MTA.parkingregulationsAnno,OBJECTID,Object ID,,,
MTA.parkingregulationsAnnoFEATUREID,MTA.Parking,MTA.parkingregulationsAnno,FEATUREID,,,,
MTA.parkingregulationsAnnoZORDER,MTA.Parking,MTA.parkingregulationsAnno,ZORDER,,,,
MTA.parkingregulationsAnnoANNOTATIONCLASSID,MTA.Parking,MTA.parkingregulationsAnno,ANNOTATIONCLASSID,,,,
MTA.parkingregulationsAnnoELEMENT,MTA.Parking,MTA.parkingregulationsAnno,ELEMENT,,,,
MTA.parkingregulationsAnnoSYMBOLID,MTA.Parking,MTA.parkingregulationsAnno,SYMBOLID,,,,
MTA.parkingregulationsAnnoSTATUS,MTA.Parking,MTA.parkingregulationsAnno,STATUS,,,,
MTA.parkingregulationsAnnoTEXTSTRING,MTA.Parking,MTA.parkingregulationsAnno,TEXTSTRING,,,,
MTA.parkingregulationsAnnoFONTNAME,MTA.Parking,MTA.parkingregulationsAnno,FONTNAME,,,,
MTA.parkingregulationsAnnoFONTSIZE,MTA.Parking,MTA.parkingregulationsAnno,FONTSIZE,,,,
MTA.parkingregulationsAnnoBOLD,MTA.Parking,MTA.parkingregulationsAnno,BOLD,,,,
MTA.parkingregulationsAnnoITALIC,MTA.Parking,MTA.parkingregulationsAnno,ITALIC,,,,
MTA.parkingregulationsAnnoUNDERLINE,MTA.Parking,MTA.parkingregulationsAnno,UNDERLINE,,,,
MTA.parkingregulationsAnnoVERTICALALIGNMENT,MTA.Parking,MTA.parkingregulationsAnno,VERTICALALIGNMENT,,,,
MTA.parkingregulationsAnnoHORIZONTALALIGNMENT,MTA.Parking,MTA.parkingregulationsAnno,HORIZONTALALIGNMENT,,,,
MTA.parkingregulationsAnnoXOFFSET,MTA.Parking,MTA.parkingregulationsAnno,XOFFSET,,,,
MTA.parkingregulationsAnnoYOFFSET,MTA.Parking,MTA.parkingregulationsAnno,YOFFSET,,,,
MTA.parkingregulationsAnnoANGLE,MTA.Parking,MTA.parkingregulationsAnno,ANGLE,,,,
MTA.parkingregulationsAnnoFONTLEADING,MTA.Parking,MTA.parkingregulationsAnno,FONTLEADING,,,,
MTA.parkingregulationsAnnoWORDSPACING,MTA.Parking,MTA.parkingregulationsAnno,WORDSPACING,,,,
MTA.parkingregulationsAnnoCHARACTERWIDTH,MTA.Parking,MTA.parkingregulationsAnno,CHARACTERWIDTH,,,,
MTA.parkingregulationsAnnoCHARACTERSPACING,MTA.Parking,MTA.parkingregulationsAnno,CHARACTERSPACING,,,,
MTA.parkingregulationsAnnoFLIPANGLE,MTA.Parking,MTA.parkingregulationsAnno,FLIPANGLE,,,,
MTA.parkingregulationsAnnoOVERRIDE,MTA.Parking,MTA.parkingregulationsAnno,OVERRIDE,,,,
MTA.parkingregulationsAnnoSHAPE,MTA.Parking,MTA.parkingregulationsAnno,SHAPE,Do Not Publish,,,
MTA.parkingregulationsAnnoCREATED_USER,MTA.Parking,MTA.parkingregulationsAnno,CREATED_USER,Do Not Publish,,,
MTA.parkingregulationsAnnoCREATED_DATE,MTA.Parking,MTA.parkingregulationsAnno,CREATED_DATE,Do Not Publish,,,
MTA.parkingregulationsAnnoLAST_EDITED_USER,MTA.Parking,MTA.parkingregulationsAnno,LAST_EDITED_USER,Do Not Publish,,,
MTA.parkingregulationsAnnoLAST_EDITED_DATE,MTA.Parking,MTA.parkingregulationsAnno,LAST_EDITED_DATE,Last Edited Date,,,
MTA.parkingregulationsAnnoSHAPE.AREA,MTA.Parking,MTA.parkingregulationsAnno,SHAPE.AREA,Do Not Publish,,,
